,單位（12級）,單位序,序,文號,主旨,附件,附件名稱,不歸檔原因,承辦單位,承辦人,保存狀況,0
1267,總務處採購組,,1016,1071301303,"本校化學系採購「更換真空管CPI RF Tube, 0-500 MHz 一式」(採購案號：107U-139N)乙案，經決標後總價為新台幣249,000元整，茲檢附契約書一式四份，請核閱及准予用印。",附件2,開標紀錄及相關文件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1268,總務處採購組,,1017,1071301336,本校化學系採購「小分子X光單晶繞射儀1套Standard Single-Crystal System」(案號:107M-025N)乙案，已完成驗收，請准予收受保固保證金。,附件1,107M-025N驗收資料,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1269,總務處採購組,,1018,1071301433,"本校圖書館採購「AIP Select 2019年電子期刊9種AIP Select 2019 E-Journals 9 titles」(採購案號：107M-060N)乙案，經決標後總價為新台幣1,282,524元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件1,107M-060N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1270,總務處採購組,,1019,1071301433,"本校圖書館採購「AIP Select 2019年電子期刊9種AIP Select 2019 E-Journals 9 titles」(採購案號：107M-060N)乙案，經決標後總價為新台幣1,282,524元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件2,開標紀錄及相關附件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1271,總務處採購組,,1020,1071301451,"本校電算中心採購「BS 10012:2017個人資訊管理系統主導稽核員教育訓練40小時專班課程一班」(採購案號：107U-146N-1)乙案，經決標後總價為新台幣309,000元整，茲檢附契約書一式四份，請核閱及准予用印。",附件1,107U-146N-1契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1272,總務處採購組,,1021,1071301451,"本校電算中心採購「BS 10012:2017個人資訊管理系統主導稽核員教育訓練40小時專班課程一班」(採購案號：107U-146N-1)乙案，經決標後總價為新台幣309,000元整，茲檢附契約書一式四份，請核閱及准予用印。",附件2,開標紀錄及相關文件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1273,總務處採購組,,1022,1071301505,"本校電機系採購「半導體多埠微型波形快速產生量測系統一套」(採購案號：107R-014N)乙案，經決標後總價為新台幣3,170,000元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件1,107R-014N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1274,總務處採購組,,1023,1071301505,"本校電機系採購「半導體多埠微型波形快速產生量測系統一套」(採購案號：107R-014N)乙案，經決標後總價為新台幣3,170,000元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件2,開標紀錄及相關附件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1275,總務處採購組,,1024,1071301510,"本校體育室採購「108年度室內游泳池水質維護(一年共十二個月)」(採購案號：107U-160N)乙案，經決標後總價為新台幣224,400元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件1,107U-160N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1276,總務處採購組,,1025,1071301510,"本校體育室採購「108年度室內游泳池水質維護(一年共十二個月)」(採購案號：107U-160N)乙案，經決標後總價為新台幣224,400元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件2,開標紀錄及相關附件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1277,總務處採購組,,1026,1071301564,"本校太空科學與科技研究中心採購「均溫型熱風循環烘箱Uniform, hot air circulation oven壹台」(案號: 107U-167N)開標結果最低價廠商報價偏低之後續處理。",附件1,107U-167N開標文件,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1278,總務處採購組,,1027,1071301564,"本校太空科學與科技研究中心採購「均溫型熱風循環烘箱Uniform, hot air circulation oven壹台」(案號: 107U-167N)開標結果最低價廠商報價偏低之後續處理。",附件2,第一次廠商說明文件與請購單位評估說明,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1279,總務處採購組,,1028,1071301564,"本校太空科學與科技研究中心採購「均溫型熱風循環烘箱Uniform, hot air circulation oven壹台」(案號: 107U-167N)開標結果最低價廠商報價偏低之後續處理。",附件3,第二次廠商說明文件與請購單位評估說明,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1280,總務處採購組,,1029,1071301580,"本校圖書館採購「萬方數據知識服務平台《中國學位論文資料庫》：人文主題1式」(採購案號：107U-174N)乙案，經決標後總價為美金7,000元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件1,107U-174N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1281,總務處採購組,,1030,1071301580,"本校圖書館採購「萬方數據知識服務平台《中國學位論文資料庫》：人文主題1式」(採購案號：107U-174N)乙案，經決標後總價為美金7,000元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件2,開標紀錄及相關附件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1282,總務處採購組,,1031,1071301637,"本校太空科學與科技研究中心採購「均溫型熱風循環烘箱Uniform, hot air circulation oven壹台」(採購案號：107U-167N)乙案，經決標後總價為新台幣110,600元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件1,107U-167N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1283,總務處採購組,,1032,1071301637,"本校太空科學與科技研究中心採購「均溫型熱風循環烘箱Uniform, hot air circulation oven壹台」(採購案號：107U-167N)乙案，經決標後總價為新台幣110,600元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件2,決標紀錄及相關附件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1284,總務處採購組,,1033,1071301642,"本校太空所採購「GPS模擬器SMBV100A Signal Generator 1套」(採購案號：107M-067N)乙案，經決標後總價為新台幣1,355,000元整，茲檢附契約書一式四份，請核閱及准予用印。",附件1,107M-067N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1285,總務處採購組,,1034,1071301642,"本校太空所採購「GPS模擬器SMBV100A Signal Generator 1套」(採購案號：107M-067N)乙案，經決標後總價為新台幣1,355,000元整，茲檢附契約書一式四份，請核閱及准予用印。",附件2,開標紀錄、廠商繳交履保金資料及相關附件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1286,總務處採購組,,1035,1071301669,"本校研究發展處採購「8十經營管理決策模擬系統1套」(採購案號：107U-188N)乙案，經決標後總價為新台幣332,000元整，茲檢附契約書一式四份，請核閱及准予用印。",附件1,107U-188N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1287,總務處採購組,,1036,1071301669,"本校研究發展處採購「8十經營管理決策模擬系統1套」(採購案號：107U-188N)乙案，經決標後總價為新台幣332,000元整，茲檢附契約書一式四份，請核閱及准予用印。",附件2,開標紀錄、廠商繳交履保金資料及相關附件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1288,總務處採購組,,1037,1071301721,"本校圖書館採購「108年臺灣聯大四校館藏整合查詢系統護費一式」(採購案號：107U-181N)乙案，經決標後總價為新台幣749,972元整，茲檢附契約書一式七份，請核閱、准予用印及處理履約保證金事宜。",附件1,107U-181N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1289,總務處採購組,,1038,1071301721,"本校圖書館採購「108年臺灣聯大四校館藏整合查詢系統護費一式」(採購案號：107U-181N)乙案，經決標後總價為新台幣749,972元整，茲檢附契約書一式七份，請核閱、准予用印及處理履約保證金事宜。",附件2,開標紀錄及相關附件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1290,總務處採購組,,1039,1071301721,"本校圖書館採購「108年臺灣聯大四校館藏整合查詢系統護費一式」(採購案號：107U-181N)乙案，經決標後總價為新台幣749,972元整，茲檢附契約書一式七份，請核閱、准予用印及處理履約保證金事宜。",附件3,履約保證金匯款資料,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1291,總務處採購組,,1040,1081300004,"本校財金系採購「108年台灣經濟新報資料庫更新使用一年(108.1.1-108.12.31)」(採購案號：107U-209N)乙案，經決標後總價為新台幣480,000元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件1,107U-209N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1292,總務處採購組,,1041,1081300004,"本校財金系採購「108年台灣經濟新報資料庫更新使用一年(108.1.1-108.12.31)」(採購案號：107U-209N)乙案，經決標後總價為新台幣480,000元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件2,開標紀錄及相關附件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1293,總務處採購組,,1042,1081300036,"本校管理學術研究中心採購「2019中央EMBA兩岸組業務宣導座談餐費一式」(採購案號：107U-195N)乙案，經決標後總價為人民幣：27,900元整，茲檢附契約書一式四份，請核閱及准予用印。",附件1,107U-195N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1294,總務處採購組,,1043,1081300036,"本校管理學術研究中心採購「2019中央EMBA兩岸組業務宣導座談餐費一式」(採購案號：107U-195N)乙案，經決標後總價為人民幣：27,900元整，茲檢附契約書一式四份，請核閱及准予用印。",附件2,開標紀錄及相關文件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1295,總務處採購組,,1044,1081300122,"本校前瞻科技研究中心採購「駭客中繼站惡意活動研究與探測系統開發1案」(採購案號：107U-202N)乙案，經決標後總價為新台幣900,000元整，茲檢附契約書一式四份，請核閱及准予用印。",附件1,107U-202N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1296,總務處採購組,,1045,1081300122,"本校前瞻科技研究中心採購「駭客中繼站惡意活動研究與探測系統開發1案」(採購案號：107U-202N)乙案，經決標後總價為新台幣900,000元整，茲檢附契約書一式四份，請核閱及准予用印。",附件2,開標紀錄及相關附件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1297,總務處採購組,,1046,1081300205,"本校藝文中心採購「世紀當代舞團『吉光片語』巡演暨藝術教育工作坊一式」(採購案號：108U-004N)乙案，經決標後總價為新台幣：250,000元整，茲檢附契約書一式四份，請核閱及准予用印。",附件1,108U-004N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1298,總務處採購組,,1047,1081300205,"本校藝文中心採購「世紀當代舞團『吉光片語』巡演暨藝術教育工作坊一式」(採購案號：108U-004N)乙案，經決標後總價為新台幣：250,000元整，茲檢附契約書一式四份，請核閱及准予用印。",附件2,開標紀錄及相關文件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1299,總務處採購組,,1048,1081300223,"本校地科中心採購「2019臺灣地球科學?合學術研討會場地服務一式2019 Taiwan Geosciences Assembly」(採購案號：108R-001N)乙案，經決標後總價為新台幣：2,802,802元整，茲檢附契約書一式四份，請核閱及准予用印。",附件1,108R-01N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1300,總務處採購組,,1049,1081300223,"本校地科中心採購「2019臺灣地球科學?合學術研討會場地服務一式2019 Taiwan Geosciences Assembly」(採購案號：108R-001N)乙案，經決標後總價為新台幣：2,802,802元整，茲檢附契約書一式四份，請核閱及准予用印。",附件2,開標紀錄及相關文件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1301,總務處採購組,,1050,1081300201,"本校教務處教學發展中心採購「MATLAB數值分析模擬軟體全校授權1套」(採購案號：108M-002N)乙案，經決標後總價為新台幣1,860,000元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件1,108M-002N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1302,總務處採購組,,1051,1081300201,"本校教務處教學發展中心採購「MATLAB數值分析模擬軟體全校授權1套」(採購案號：108M-002N)乙案，經決標後總價為新台幣1,860,000元整，茲檢附契約書一式四份，請核閱、准予用印及處理履約保證金事宜。",附件2,開標紀錄及相關附件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1303,總務處採購組,,1052,1081300288,"本校太空科學與科技研究中心採購「均溫型熱風循環烘箱Uniform, hot air circulation oven壹台」(採購案號：107U-167N)乙案，已完成驗收，請准予退還履約保證金及收取保固金。",附件1,107U-167N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1304,總務處採購組,,1053,1081300337,"本校防災中心採購「108年度石岡壩既設泥砂懸浮載及濁度量測儀器維護一式」(採購案號：108U-011N)乙案，經決標後總價為新台幣：400,000元整，茲檢附契約書一式四份，請核閱及准予用印。",附件1,108U-011N契約書,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1305,總務處採購組,,1054,1081300337,"本校防災中心採購「108年度石岡壩既設泥砂懸浮載及濁度量測儀器維護一式」(採購案號：108U-011N)乙案，經決標後總價為新台幣：400,000元整，茲檢附契約書一式四份，請核閱及准予用印。",附件2,開標紀錄及相關文件一式,單位抽存(存查單位：總務處採購組自存),總務處採購組,林信佑,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1306,總務處採購組,,1055,1061300005,"本校總務處事務組採購「智慧交通整合系統悠遊卡電子票證服務一式」(案號：106U-096G)，經決標後，總價為新台幣265,704元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1307,總務處採購組,,1056,1061300011,"本校地球科學學系採購「井測系統2000m絞線盤(內含1000m纜線)1組採購案」(案號：106R-007G)，經決標後，總價為新台幣1,468,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標資料,單位自行留存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1308,總務處採購組,,1057,1061300523,"本校資訊工程系採購「106年人才培育計畫夥伴學校成果影片拍攝及後製(含成果編輯撰稿攝影)1式」(案號：106U-114G)，經決標後，總價為新台幣205,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標資料,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1309,總務處採購組,,1058,1061300558,"本校藝文中心採購「黑盒子劇場表演藝術系列工作坊」(案號：106U-142G)，經決標後，總價為新台幣175,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1310,總務處採購組,,1059,1061300569,"本校大氣系採購「鹿林山與偏遠離島背景測站國際合作及操作維護-雨水汞採樣器租賃案3式」(案號：106U-128G)，經決標後，總價為新台幣350,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。 說明：",附件1,契約書及招標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1311,總務處採購組,,1060,1061300612,"本校圖書館採購「RSC(Royal Society of Chemistry) 2018年電子期刊4種」(案號：106U-135G)，經決標後，總價為新台幣566,800元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標資料,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1312,總務處採購組,,1061,1061300710,"本校秘書室採購「中大校訊第184、185期印刷、裝訂及包裝總計70,000本」(案號：106U-156G)，經決標後，總價為新台幣627,200元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標紀錄,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1313,總務處採購組,,1062,1061300748,"本校藝文中心採購「106年黑盒子實驗劇場設備維修檢測一式」(案號：106U-149G)，經決標後，總價為新台幣200,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1314,總務處採購組,,1063,1061300793,"本校體育室採購「107年度室內游泳池水質維護1年12個月」(案號：106U-170G)，經決標後，總價為新台幣218,000元，茲檢附訂購契約書一式四份，請核閱及准予用印。",附件1,契約書及開標紀錄相關文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1315,總務處採購組,,1064,1061300815,"本校地科學院採購「地科學院MATLAB軟體授權6個月」(案號：106U-191G)，經決標後，總價為新台幣200,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1316,總務處採購組,,1065,1061300861,"本校化學工程與材料工程學系採購「化材系工一館排氣櫃整合系統1式」(案號：106U-177G)，經決標後，總價為新台幣265,650元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1317,總務處採購組,,1066,1071300084,"本校前瞻科技研究中心採購「社群媒體網民情緒與互動現象研究」(案號：106U-197G)，經決標後，總價為新台幣882,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1318,總務處採購組,,1067,1071300141,"本校總務處採購「106年度年終工作檢討會委辦中式餐宴1式」(案號：106U-163G)，經決標後，總價為新台幣450,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1319,總務處採購組,,1068,1071300174,"本校前瞻科技研究中心採購「可調式猝發訊號系統解調平台研發1式」(案號：106M-057G)，經決標後，總價為新台幣1,350,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1320,總務處採購組,,1069,1071300286,"本校藝文中心採購「NEC數位放映設備主機內建相容伺服器1組」(案號：107U-008G)，經決標後，總價為新台幣300,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1321,總務處採購組,,1070,1071300362,"本校環境研究中心採購「台自製寬頻海底地震儀零件－機架、DPG艙體、感震器鈦合金艙體1批」(案號：107R-001G)，經決標後，總價為新台幣1,500,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1322,總務處採購組,,1071,1071300364,"本校前瞻科技研究中心採購「國際網路安全發展觀察計畫1式」(案號：107U-015G)，經決標後，總價為新台幣810,000元，茲檢附訂購契約書一式四份，請核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1323,總務處採購組,,1072,1071300378,"本校生醫理工學院採購「擴充太遙中心交換機系統之24迴路分機內線卡2組」(案號：107U-001G)，經決標後，總價為新台幣154,400元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1324,總務處採購組,,1073,1071300386,"本校地科系採購「24波道海上固態式震測受波器浮纜系統1套」(案號：107M-005G)，經決標後，總價為新台幣2,850,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1325,總務處採購組,,1074,1071300432,"本校體育室採購「107年全國大專校院運動會開閉幕典禮及聖火傳遞活動1式」(案號：106M-050G)，經決標後，總價為新台幣5,985,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1326,總務處採購組,,1075,1071300469,"本校應用地質研究所採購「東港溪水文及水質觀測1式」(案號：107U-021G)，經決標後，總價為新台幣645,000元，茲檢附訂購契約書一式四份，請核閱及准予用印",附件1,契約書與開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1327,總務處採購組,,1076,1071300547,"本校環境中心採購「低放射性廢棄物坑道處置生物圈安全評估審查技術之研究一式」(案號：107U-028G)，經決標後，總價為新台幣847,000元，茲檢附訂購契約書一式五份，請核閱及准予用印。",附件1,契約書及開標資料,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1328,總務處採購組,,1077,1071300556,"本校環境中心採購「低放射性廢棄物坑道處置工程設計驗證評估之研究一式」(案號：107M-012G)，經決標後，總價為新台幣1,090,000元，茲檢附訂購契約書一式四份，請 核閱及准予用印。",附件1,契約書及開標文件,單位自存,總務處採購組,林慧娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
